snehal@snehal-VirtualBox:~/Documents$ python socket-mon.py
"pid","laddr","raddr","status"
"23829", "10.0.2.15@40814", "23.7.133.163@80", "ESTABLISHED"
"23829", "10.0.2.15@50920", "52.94.232.33@443", "CLOSE_WAIT"
"23829", "10.0.2.15@56976", "54.192.141.217@443", "CLOSE_WAIT"
"23829", "10.0.2.15@56972", "54.192.141.217@443", "CLOSE_WAIT"
"23829", "10.0.2.15@59694", "23.64.171.27@80", "CLOSE_WAIT"
"23829", "10.0.2.15@33650", "104.196.189.120@443", "CLOSE_WAIT"
"23829", "10.0.2.15@43630", "23.7.139.27@80", "CLOSE_WAIT"
"23829", "10.0.2.15@34984", "52.94.232.32@443", "CLOSE_WAIT"
"23829", "10.0.2.15@53562", "50.19.107.76@443", "CLOSE_WAIT"
"15761", "10.0.2.15@51350", "216.58.195.228@443", "ESTABLISHED"
"15761", "10.0.2.15@34862", "192.30.253.124@443", "ESTABLISHED"
"15761", "10.0.2.15@35492", "216.58.195.238@443", "ESTABLISHED"
"15761", "10.0.2.15@44298", "216.58.216.142@443", "ESTABLISHED"
"15761", "10.0.2.15@57120", "216.58.195.227@443", "ESTABLISHED"
"15761", "10.0.2.15@34840", "192.30.253.124@443", "ESTABLISHED"
"15761", "10.0.2.15@47406", "216.58.194.174@443", "ESTABLISHED"
"None", "127.0.1.1@53", "", "LISTEN"
"None", "10.0.2.15@47212", "216.58.194.174@443", "TIME_WAIT"
"None", "10.0.2.15@60794", "172.217.6.67@443", "TIME_WAIT"
snehal@snehal-VirtualBox:~/Documents$ 
